instance_id,raw_pred_speedup_ratio,pred_speedup_ratio,gold_speedup_ratio,human_speedup_ratio,correctness,correctness_pct,pre_edit_runtime
astropy__astropy-12699,1.4091490863032383,1.4091490863032383,1.3811230174462261,1.0202922321205203,1.0,1.0,0.0022095445119739454
astropy__astropy-13471,29.770323386425837,29.770323386425837,31.058806476002474,0.9585147262316026,1.0,1.0,0.005246596770995211
astropy__astropy-13898,31.61766302266189,31.61766302266189,24.88535961843615,1.2705326950243532,1.0,1.0,0.00013406332997965365
astropy__astropy-15900,5.425664927319,5.425664927319,0.9662365213091113,5.615255486273697,1.0,1.0,0.0006610313430264796
astropy__astropy-16295,16.37075616776457,16.37075616776457,23.561596287239663,0.6948067511296141,1.0,1.0,0.0003019285200352897
astropy__astropy-7010,2.717873158148822,2.717873158148822,1.4647375614175768,1.8555359197032246,1.0,1.0,0.00034361775004072115
astropy__astropy-7422,1286.7334315574017,1286.7334315574017,1270.04156337547,1.0131427731684375,1.0,1.0,0.8985267192998435
astropy__astropy-7616,2.8626747316553653,2.8626747316553653,1.3031997284767582,2.1966508042488586,1.0,1.0,0.027694271470054446
dask__dask-10356,12.541667266942527,12.541667266942527,8.590161498084276,1.4600036646272005,1.0,1.0,2.76848862742002
dask__dask-10428,0.9652112703451713,0.9652112703451713,4.019713006221424,0.24011944854055164,1.0,1.0,6.303281122199974
dask__dask-5501,4.461055036772976,4.461055036772976,4.546777088675301,0.9811466341475517,1.0,1.0,0.48121759819998716
dask__dask-5553,5.817193226114807,5.817193226114807,3.8634334558851062,1.5057055576442167,1.0,1.0,1.3473547476699788
matplotlib__matplotlib-17995,17.367076285446366,17.367076285446366,11.652663657287146,1.4903953976725002,1.0,1.0,3.786355430000185
matplotlib__matplotlib-22108,1.3282716697865378,1.0,2.0132072861393913,0.49671983947447407,0.0,0.9995902479000205,0.00022374766248321976
numpy__numpy-12575,31.282191359478805,31.282191359478805,5.629808110097341,5.556528881219351,1.0,1.0,2.002581129699938
numpy__numpy-18324,2.471914419925433,2.471914419925433,1.1937727146371389,2.0706742494753705,1.0,1.0,0.00041571740700010193
numpy__numpy-21832,0.974299405432726,0.974299405432726,1.201523443612377,0.8108867210310083,1.0,1.0,0.0005307332359989232
numpy__numpy-25788,2.273380244712801,2.273380244712801,1.3138802840757489,1.7302795941656237,1.0,1.0,0.00027934193503824644
numpy__numpy-27830,1.6741850462207748,1.6741850462207748,1.6728561296738922,1.0007943997832867,1.0,1.0,0.29704124313000646
pandas-dev__pandas-23888,14.503370987125056,14.503370987125056,8.58875065425062,1.6886473447622163,1.0,1.0,0.037249000100109696
pandas-dev__pandas-24083,333.8912040423366,333.8912040423366,24.439618969706373,13.661882554560469,1.0,1.0,2.2242525603601098
pandas-dev__pandas-24308,18.903202527700373,18.903202527700373,14.139851795587175,1.336874162542479,1.0,1.0,0.6296250479599985
pandas-dev__pandas-25953,1.3571227658986846,1.3571227658986846,1.166131797849462,1.1637816312027862,1.0,1.0,0.09110930114298207
pandas-dev__pandas-26702,6.196809300194662,6.196809300194662,6.280455986804709,0.9866814309684219,1.0,1.0,1.252494196200041
pandas-dev__pandas-27448,2.5323875869964056,2.5323875869964056,2.305981650632695,1.0981820199226613,1.0,1.0,0.0010805192479911056
pandas-dev__pandas-29820,2.7430379482219935,2.7430379482219935,2.673439649167185,1.0260332411380557,1.0,1.0,0.0037659980269745576
pandas-dev__pandas-32825,9.65649599713587,9.65649599713587,9.527273083519614,1.0135634732502616,1.0,1.0,0.061413134799931865
pandas-dev__pandas-34178,2.3477225858912414,2.3477225858912414,2.1113956333466954,1.1119292608225928,1.0,1.0,0.10707728687995768
pandas-dev__pandas-34192,1.0246462734752475,1.0246462734752475,1.0587517840244587,0.9677870573029199,1.0,1.0,0.001199744064009792
pandas-dev__pandas-36638,96.90248240907327,96.90248240907327,59.42708636091636,1.6306113650021297,1.0,1.0,0.5882440716004567
pandas-dev__pandas-37064,0.9946715949459851,0.9946715949459851,14.54385174633047,0.06839120834664371,1.0,1.0,0.4287668448000477
pandas-dev__pandas-38560,1456.709557341669,1456.709557341669,794.9512037351047,1.832451539789198,1.0,1.0,0.11396887876027904
pandas-dev__pandas-39332,31.589963044563333,1.0,29.068980850551423,0.03440093084587899,0.0,0.9998457545619764,0.04368377607992443
